customer_id,name,email,city,signup_date
1,Brandon Acosta,rebeccajohns@elliott.com,Morganchester,2022-06-19
2,Shane Martin,zdavidson@ortiz.com,New Nicole,2023-08-15
3,Geoffrey Hubbard,jasondavis@hotmail.com,West Linda,2025-03-17
4,Jeanne Hanson,lewisjonathan@rodriguez-ferrell.com,West Tiffanyburgh,2023-03-05
5,Richard Edwards,bmcguire@rose-jacobs.net,West Jeanetteborough,2022-10-09
6,Alexis Fischer,jenkinstroy@gmail.com,South Tyler,2023-04-07
7,Lori Hancock,wrightpatrick@bartlett.com,Morrisonview,2023-06-30
8,Allison Johnson,bradley20@schmidt-mcdonald.net,Jimenezfurt,2025-04-12
9,Victor Harris,leslie60@elliott.info,Beckerborough,2024-08-12
10,James Wall,imitchell@hotmail.com,Port Barbara,2023-02-16
11,Rhonda Carter,juanhoover@yahoo.com,Julieport,2025-01-08
12,Michael Alexander,fullerjoshua@gibbs.com,South Nancychester,2024-08-29
13,Matthew Burgess,xcherry@boyd.org,Douglasfort,2024-12-10
14,Billy Hamilton,thomaswilliam@hotmail.com,Keithbury,2024-07-01
15,Michael Hernandez,julie50@huerta.net,Harriston,2022-08-12
16,Chelsey Hale,amanda44@turner.org,Chambersstad,2023-10-08
17,John Woodard,dawnwright@moody.biz,New Claudia,2022-10-24
18,Jonathan Greer,branchrebecca@ferguson.info,Butlerfurt,2025-01-08
19,Stanley Moore,twalker@gonzalez.info,South Ritaville,2023-02-18
20,Kelly Stone,rkennedy@hotmail.com,New Michaelfort,2024-04-16
21,Andrew Spencer,jacqueline55@martin.com,Lake Kristina,2023-10-08
22,Brittney Odonnell,jordanlynch@gmail.com,East Robertotown,2022-06-02
23,Wanda Brown,roy60@yahoo.com,West Brendanfurt,2022-06-07
24,Heather Rocha,xmoon@brown-rodriguez.com,Mariachester,2022-07-06
25,Stephanie Davis,smithdiane@hotmail.com,Teresaport,2024-12-23
26,Shane Compton,fgood@gmail.com,Wongport,2023-06-08
27,Michael Kelley,aarongreen@hotmail.com,West Jessicatown,2024-12-28
28,Spencer Ramirez,tammymitchell@smith.com,Elizabethport,2023-03-15
29,Travis Lewis,nicole31@gmail.com,Port Sarahton,2022-11-15
